"path","variable","domain","model","experiment","ensemble"
"/pic/projects/GCAM/CMIP6/CMIP6processing/development/tas_Amon_CESM2_historical_r7i1p1f1_gn_190001-194912.nc","tas","Amon","CESM2","historical","r7i1p1f1"
"/pic/projects/GCAM/CMIP6/CMIP6processing/development/tas_Amon_CESM2_historical_r7i1p1f1_gn_195001-199912.nc","tas","Amon","CESM2","historical","r7i1p1f1"
"/pic/projects/GCAM/CMIP6/CMIP6processing/development/tas_Amon_CESM2_historical_r7i1p1f1_gn_200001-201412.nc","tas","Amon","CESM2","historical","r7i1p1f1"
"/pic/projects/GCAM/CMIP6/CMIP6processing/development/tas_Amon_CESM2_historical_r8i1p1f1_gn_185001-189912.nc","tas","Amon","CESM2","historical","r8i1p1f1"
"/pic/projects/GCAM/CMIP6/CMIP6processing/development/tas_Amon_CESM2_historical_r8i1p1f1_gn_190001-194912.nc","tas","Amon","CESM2","historical","r8i1p1f1"
